# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	31220	32641	-	GCF_011405655.1_00024		hypothetical protein	UserProtein:GCF_011405655.1_00024
contig_1	cds	32795	34423	+	GCF_011405655.1_00025	urdA_1	Urocanate reductase	COG:COG1053, EC:1.3.99.33, UserProtein:GCF_011405655.1_00025
contig_1	cds	34592	34921	-	GCF_011405655.1_00026		hypothetical protein	UserProtein:GCF_011405655.1_00026
contig_1	cds	35635	36519	+	GCF_011405655.1_00027		hypothetical protein	SO:0001217, UniRef:UniRef50_F7V0Z9, UserProtein:GCF_011405655.1_00027
contig_1	cds	36682	37683	+	GCF_011405655.1_00028		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A369P9V1, UserProtein:GCF_011405655.1_00028
contig_1	cds	37871	39271	+	GCF_011405655.1_00029		hypothetical protein	UserProtein:GCF_011405655.1_00029
contig_1	cds	39400	39687	-	GCF_011405655.1_00030		hypothetical protein	UserProtein:GCF_011405655.1_00030
contig_1	cds	39903	40799	+	GCF_011405655.1_00031	fliY	L-cystine-binding protein FliY	COG:COG0834, SO:0001217, UniRef:UniRef50_G5IEQ3, UserProtein:GCF_011405655.1_00031
contig_1	cds	40899	41729	+	GCF_011405655.1_00032		hypothetical protein	SO:0001217, UniRef:UniRef50_G5IEQ4, UserProtein:GCF_011405655.1_00032
contig_1	cds	41719	41847	+	GCF_011405655.1_00033		hypothetical protein	UserProtein:GCF_011405655.1_00033
contig_1	cds	41837	42571	+	GCF_011405655.1_00034	glnQ	Glutamine transport ATP-binding protein GlnQ	COG:COG1126, SO:0001217, UniRef:UniRef50_E7H4G7, UserProtein:GCF_011405655.1_00034
contig_1	cds	42581	43186	-	GCF_011405655.1_00035		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A7X5DDI4, UserProtein:GCF_011405655.1_00035
contig_1	cds	43186	43596	-	GCF_011405655.1_00036		hypothetical protein	UserProtein:GCF_011405655.1_00036
contig_1	cds	43722	44405	-	GCF_011405655.1_00037	ydjF	Phage shock protein A	COG:COG1842, SO:0001217, UniRef:UniRef50_K0IZR2, UserProtein:GCF_011405655.1_00037
contig_1	cds	44455	45627	-	GCF_011405655.1_00038		hypothetical protein	UserProtein:GCF_011405655.1_00038
contig_1	cds	45638	46108	-	GCF_011405655.1_00039		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVJ8, UserProtein:GCF_011405655.1_00039
contig_1	cds	46504	47703	+	GCF_011405655.1_00040		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A143X8U3, UserProtein:GCF_011405655.1_00040
contig_1	cds	47857	49509	-	GCF_011405655.1_00041	ubiB	protein kinase UbiB	EC:2.7.-.-, SO:0001217, UniRef:UniRef50_R9L3C2, UserProtein:GCF_011405655.1_00041
contig_1	cds	49639	50922	-	GCF_011405655.1_00042		hypothetical protein	SO:0001217, UniRef:UniRef50_F0RXJ7, UserProtein:GCF_011405655.1_00042
contig_1	cds	51339	52208	+	GCF_011405655.1_00043		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A369PA93, UserProtein:GCF_011405655.1_00043
contig_1	cds	52245	52658	+	GCF_011405655.1_00044	fhaB	FHA domain-containing protein FhaB	COG:COG1716, SO:0001217, UniRef:UniRef50_F7UXT4, UserProtein:GCF_011405655.1_00044
contig_1	cds	52658	53974	+	GCF_011405655.1_00045		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A143X934, UserProtein:GCF_011405655.1_00045
contig_1	cds	53971	56754	+	GCF_011405655.1_00046	ftsI	Peptidoglycan D,D-transpeptidase FtsI	EC:3.4.16.4, SO:0001217, UniRef:UniRef50_C8WPP1, UserProtein:GCF_011405655.1_00046
contig_1	cds	56833	58755	+	GCF_011405655.1_00047	prkC	Serine/threonine-protein kinase PrkC	COG:COG0515, EC:2.7.11.1, SO:0001217, UniRef:UniRef50_A0A4T9T759, UserProtein:GCF_011405655.1_00047
contig_1	cds	58801	59700	+	GCF_011405655.1_00048		hypothetical protein	UserProtein:GCF_011405655.1_00048
contig_1	cds	60070	60630	+	GCF_011405655.1_00049	cutD	Choline trimethylamine-lyase activating enzyme	EC:1.97.1.-, SO:0001217, UniRef:UniRef50_A0A7K3L097, UserProtein:GCF_011405655.1_00049
contig_1	cds	60690	61541	-	GCF_011405655.1_00050	senX3	Signal-transduction histidine kinase senX3	EC:2.7.13.3, UserProtein:GCF_011405655.1_00050
contig_1	cds	61538	62269	-	GCF_011405655.1_00051	sphR	Alkaline phosphatase synthesis transcriptional regulatory protein SphR	COG:COG0745, SO:0001217, UniRef:UniRef50_B0NK93, UserProtein:GCF_011405655.1_00051
contig_1	cds	62456	63499	-	GCF_011405655.1_00052		hypothetical protein	SO:0001217, UniRef:UniRef50_D4KBT8, UserProtein:GCF_011405655.1_00052
contig_1	cds	63757	65694	-	GCF_011405655.1_00053	urdA_2	Urocanate reductase	COG:COG0431, EC:1.3.99.33, SO:0001217, UniRef:UniRef50_R9KVF7, UserProtein:GCF_011405655.1_00053
contig_1	cds	65836	67221	-	GCF_011405655.1_00054		hypothetical protein	UserProtein:GCF_011405655.1_00054
contig_1	cds	67250	68596	-	GCF_011405655.1_00055		hypothetical protein	SO:0001217, UniRef:UniRef50_D2Q690, UserProtein:GCF_011405655.1_00055
contig_1	cds	68895	69005	-	GCF_011405655.1_00056		hypothetical protein	UserProtein:GCF_011405655.1_00056
contig_1	cds	69172	69999	-	GCF_011405655.1_00057	pstB3	Phosphate import ATP-binding protein PstB 3	COG:COG1117, EC:7.3.2.1, SO:0001217, UniRef:UniRef50_F0HS95, UserProtein:GCF_011405655.1_00057
contig_1	cds	69996	70994	-	GCF_011405655.1_00058	pstA	Phosphate transport system permease protein PstA	COG:COG0581, SO:0001217, UniRef:UniRef50_A0A3N0J2G1, UserProtein:GCF_011405655.1_00058
contig_1	cds	70991	71977	-	GCF_011405655.1_00059		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A3A4N987, UserProtein:GCF_011405655.1_00059
contig_1	cds	71997	72968	-	GCF_011405655.1_00060	pstS2	Phosphate-binding protein PstS 2	COG:COG0226, SO:0001217, UniRef:UniRef50_F2I7J6, UserProtein:GCF_011405655.1_00060
contig_1	cds	74213	74467	+	GCF_011405655.1_00061		hypothetical protein	UserProtein:GCF_011405655.1_00061
contig_1	cds	74471	74752	+	GCF_011405655.1_00062		hypothetical protein	UserProtein:GCF_011405655.1_00062
contig_1	cds	74938	75537	-	GCF_011405655.1_00063		hypothetical protein	UserProtein:GCF_011405655.1_00063
contig_1	cds	75655	76473	+	GCF_011405655.1_00064	ybhF	putative multidrug ABC transporter ATP-binding protein YbhF	COG:COG1131, SO:0001217, UniRef:UniRef50_A0A2A2EKY9, UserProtein:GCF_011405655.1_00064
contig_1	cds	76466	77731	+	GCF_011405655.1_00065		hypothetical protein	UserProtein:GCF_011405655.1_00065
contig_1	cds	78054	80387	-	GCF_011405655.1_00066		hypothetical protein	SO:0001217, UniRef:UniRef50_C9KMS9, UserProtein:GCF_011405655.1_00066
contig_1	cds	80798	81586	-	GCF_011405655.1_00067		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KTS9, UserProtein:GCF_011405655.1_00067
contig_1	cds	81574	83490	-	GCF_011405655.1_00068	btuD	Vitamin B12 import ATP-binding protein BtuD	EC:7.6.2.8, SO:0001217, UniRef:UniRef50_A0A6N2TVK5, UserProtein:GCF_011405655.1_00068
contig_1	cds	83463	84374	-	GCF_011405655.1_00069	ecfT	Energy-coupling factor transporter transmembrane protein EcfT	UserProtein:GCF_011405655.1_00069
contig_1	cds	84402	85310	-	GCF_011405655.1_00070		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A143XCC9, UserProtein:GCF_011405655.1_00070
contig_1	cds	86391	87047	-	GCF_011405655.1_00071		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UXA3, UserProtein:GCF_011405655.1_00071
contig_1	cds	87367	89961	+	GCF_011405655.1_00072	smc_1	Chromosome partition protein Smc	SO:0001217, UniRef:UniRef50_A0A7K3KR93, UserProtein:GCF_011405655.1_00072
contig_1	cds	89958	92132	+	GCF_011405655.1_00073	smc_2	Chromosome partition protein Smc	SO:0001217, UniRef:UniRef50_A0A3A9BEP2, UserProtein:GCF_011405655.1_00073
contig_1	cds	92585	93889	-	GCF_011405655.1_00074	der_1	GTPase Der	SO:0001217, UniRef:UniRef50_A0A1C6DW27, UserProtein:GCF_011405655.1_00074
contig_1	cds	93901	95346	-	GCF_011405655.1_00075		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A496P9N9, UserProtein:GCF_011405655.1_00075
contig_1	cds	95343	96566	-	GCF_011405655.1_00076	bioB	Biotin synthase	EC:2.8.1.6, SO:0001217, UniRef:UniRef50_A0A4T9THM0, UserProtein:GCF_011405655.1_00076
contig_1	cds	96563	98356	-	GCF_011405655.1_00077	hndD	NADP-reducing hydrogenase subunit HndD	COG:COG3383, EC:1.12.1.3, SO:0001217, UniRef:UniRef50_A0A1C5TAZ0, UserProtein:GCF_011405655.1_00077
contig_1	cds	98350	100188	-	GCF_011405655.1_00078	sfrB	NADPH-Fe(3+) oxidoreductase subunit beta	COG:COG0493, EC:1.-.-.-, SO:0001217, UniRef:UniRef50_F7UYN4, UserProtein:GCF_011405655.1_00078
contig_1	cds	100317	101627	-	GCF_011405655.1_00079	vioD_1	Capreomycidine synthase	EC:4.2.1.145, SO:0001217, UniRef:UniRef50_A0A5K1JEP7, UserProtein:GCF_011405655.1_00079
contig_1	cds	101827	102264	-	GCF_011405655.1_00080		hypothetical protein	UserProtein:GCF_011405655.1_00080
contig_1	cds	102433	103713	-	GCF_011405655.1_00081		hypothetical protein	SO:0001217, UniRef:UniRef50_I6Y1A8, UserProtein:GCF_011405655.1_00081
contig_1	cds	104103	105476	-	GCF_011405655.1_00082		hypothetical protein	UserProtein:GCF_011405655.1_00082
contig_1	cds	105760	106449	+	GCF_011405655.1_00083		hypothetical protein	UserProtein:GCF_011405655.1_00083
contig_1	cds	106468	107640	-	GCF_011405655.1_00084	adh2	Long-chain-alcohol dehydrogenase 2	COG:COG1979, EC:1.1.1.192, SO:0001217, UniRef:UniRef50_R9L2V6, UserProtein:GCF_011405655.1_00084
contig_1	cds	107852	108352	-	GCF_011405655.1_00085		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SH32, UserProtein:GCF_011405655.1_00085
contig_1	cds	108349	108720	-	GCF_011405655.1_00086		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVH4, UserProtein:GCF_011405655.1_00086
contig_1	cds	108884	109039	+	GCF_011405655.1_00087		hypothetical protein	UserProtein:GCF_011405655.1_00087
contig_1	cds	109141	110082	-	GCF_011405655.1_00088		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0B2K2W4, UserProtein:GCF_011405655.1_00088
contig_1	cds	110440	112401	-	GCF_011405655.1_00089	mdtD	Putative multidrug resistance protein MdtD	SO:0001217, UniRef:UniRef50_A0A6F8SJ92, UserProtein:GCF_011405655.1_00089
contig_1	cds	112588	113898	+	GCF_011405655.1_00090		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1C5QZH1, UserProtein:GCF_011405655.1_00090
contig_1	cds	114016	115374	+	GCF_011405655.1_00091		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KV97, UserProtein:GCF_011405655.1_00091
contig_1	cds	115516	117222	+	GCF_011405655.1_00092		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVP2, UserProtein:GCF_011405655.1_00092
contig_1	cds	117398	118189	-	GCF_011405655.1_00093		hypothetical protein	SO:0001217, UniRef:UniRef50_K0ZA75, UserProtein:GCF_011405655.1_00093
contig_1	cds	119148	119939	-	GCF_011405655.1_00096	ylmA	putative ABC transporter ATP-binding protein YlmA	COG:COG1119, EC:3.6.3.-, SO:0001217, UniRef:UniRef50_R7B473, UserProtein:GCF_011405655.1_00096
contig_1	cds	120038	121405	-	GCF_011405655.1_00097	surA	Chaperone SurA	EC:5.2.1.8, SO:0001217, UniRef:UniRef50_A0A7X5IBT9, UserProtein:GCF_011405655.1_00097
contig_1	cds	121623	123437	-	GCF_011405655.1_00098	typA	GTP-binding protein TypA/BipA	COG:COG1217, SO:0001217, UniRef:UniRef50_F7UX97, UserProtein:GCF_011405655.1_00098
contig_1	cds	123586	124209	-	GCF_011405655.1_00099	dnaJ	Chaperone protein DnaJ	UserProtein:GCF_011405655.1_00099
contig_1	cds	124219	124530	-	GCF_011405655.1_00100		hypothetical protein	UserProtein:GCF_011405655.1_00100
contig_1	cds	124979	125686	+	GCF_011405655.1_00101		hypothetical protein	UserProtein:GCF_011405655.1_00101
contig_1	cds	125747	127204	-	GCF_011405655.1_00102		hypothetical protein	UserProtein:GCF_011405655.1_00102
contig_1	cds	127291	128253	-	GCF_011405655.1_00103		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A369NY78, UserProtein:GCF_011405655.1_00103
contig_1	cds	128272	128430	-	GCF_011405655.1_00104		hypothetical protein	UserProtein:GCF_011405655.1_00104
contig_1	cds	128508	129134	-	GCF_011405655.1_00105		hypothetical protein	UserProtein:GCF_011405655.1_00105
contig_1	cds	129833	130510	-	GCF_011405655.1_00106		hypothetical protein	UserProtein:GCF_011405655.1_00106
contig_1	cds	131271	131765	-	GCF_011405655.1_00107		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6N8JKB8, UserProtein:GCF_011405655.1_00107
contig_1	cds	131826	133364	-	GCF_011405655.1_00108		hypothetical protein	UserProtein:GCF_011405655.1_00108
contig_1	cds	133401	137828	-	GCF_011405655.1_00109		hypothetical protein	UserProtein:GCF_011405655.1_00109
contig_1	cds	137993	139402	-	GCF_011405655.1_00110		hypothetical protein	SO:0001217, UniRef:UniRef50_R9L5J2, UserProtein:GCF_011405655.1_00110
contig_1	cds	139568	140653	-	GCF_011405655.1_00111		hypothetical protein	UserProtein:GCF_011405655.1_00111
contig_1	cds	140677	141057	-	GCF_011405655.1_00112		hypothetical protein	UserProtein:GCF_011405655.1_00112
contig_1	cds	141171	142469	-	GCF_011405655.1_00113		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5K1IWI1, UserProtein:GCF_011405655.1_00113
contig_1	cds	142948	143688	-	GCF_011405655.1_00114		hypothetical protein	UserProtein:GCF_011405655.1_00114
contig_1	cds	143901	144509	-	GCF_011405655.1_00115		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A4S4G3I5, UserProtein:GCF_011405655.1_00115
contig_1	cds	144659	149389	-	GCF_011405655.1_00116		hypothetical protein	UserProtein:GCF_011405655.1_00116
contig_1	cds	149405	151564	-	GCF_011405655.1_00117		hypothetical protein	SO:0001217, UniRef:UniRef50_R9L3J2, UserProtein:GCF_011405655.1_00117
contig_1	cds	153121	153633	+	GCF_011405655.1_00120		hypothetical protein	COG:COG1259, SO:0001217, UniRef:UniRef50_F7UX37, UserProtein:GCF_011405655.1_00120
contig_1	cds	153714	153827	+	GCF_011405655.1_00121		hypothetical protein	UserProtein:GCF_011405655.1_00121
contig_1	cds	153933	156773	-	GCF_011405655.1_00122	gyrA	DNA gyrase subunit A	COG:COG0188, EC:5.6.2.2, SO:0001217, UniRef:UniRef50_A8F8Z0, UserProtein:GCF_011405655.1_00122
contig_1	cds	156783	158726	-	GCF_011405655.1_00123	gyrB	DNA gyrase subunit B	COG:COG0187, EC:5.6.2.2, SO:0001217, UniRef:UniRef50_A0A1Y4BRP6, UserProtein:GCF_011405655.1_00123
contig_1	cds	158983	160089	-	GCF_011405655.1_00124	recF	DNA replication and repair protein RecF	COG:COG1195, UserProtein:GCF_011405655.1_00124
contig_1	cds	160090	161190	-	GCF_011405655.1_00125	dnaN	Beta sliding clamp	COG:COG0592, SO:0001217, UniRef:UniRef50_D0WHH4, UserProtein:GCF_011405655.1_00125
contig_1	cds	161915	163048	+	GCF_011405655.1_00126		hypothetical protein	UserProtein:GCF_011405655.1_00126
contig_1	cds	163128	164756	+	GCF_011405655.1_00127	dnaA	Chromosomal replication initiator protein DnaA	COG:COG0593, SO:0001217, UniRef:UniRef50_A0A4T9T6V8, UserProtein:GCF_011405655.1_00127
contig_1	cds	165945	166721	+	GCF_011405655.1_00128	yidC	Membrane protein insertase YidC	SO:0001217, UniRef:UniRef50_A0A369L7U0, UserProtein:GCF_011405655.1_00128
contig_1	cds	166818	167405	+	GCF_011405655.1_00129		hypothetical protein	UserProtein:GCF_011405655.1_00129
contig_1	cds	167501	168175	+	GCF_011405655.1_00130	rsmG	Ribosomal RNA small subunit methyltransferase G	COG:COG0357, EC:2.1.1.-, SO:0001217, UniRef:UniRef50_A0A3N0IJD7, UserProtein:GCF_011405655.1_00130
contig_1	cds	168295	169290	+	GCF_011405655.1_00131		Iron-sulfur cluster carrier protein	SO:0001217, UniRef:UniRef50_A0A853DMU7, UserProtein:GCF_011405655.1_00131
contig_1	cds	169277	170335	+	GCF_011405655.1_00132	noc_1	Nucleoid occlusion protein	SO:0001217, UniRef:UniRef50_F7UYK7, UserProtein:GCF_011405655.1_00132
contig_1	cds	170578	170793	-	GCF_011405655.1_00133		hypothetical protein	UserProtein:GCF_011405655.1_00133
contig_1	cds	170790	171587	-	GCF_011405655.1_00134		IS21 family transposase ISMac9	SO:0001217, UniRef:UniRef50_A0A6N7XBL6, UserProtein:GCF_011405655.1_00134
contig_1	cds	171584	172813	-	GCF_011405655.1_00135		hypothetical protein	SO:0001217, UniRef:UniRef50_U2TU52, UserProtein:GCF_011405655.1_00135
contig_1	cds	172997	173527	+	GCF_011405655.1_00136		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A316PGJ2, UserProtein:GCF_011405655.1_00136
contig_1	cds	173805	174728	-	GCF_011405655.1_00137	rlmN	putative dual-specificity RNA methyltransferase RlmN	EC:2.1.1.192, SO:0001217, UniRef:UniRef50_F7UYK6, UserProtein:GCF_011405655.1_00137
contig_1	cds	174747	175883	+	GCF_011405655.1_00138	ddlB	D-alanine--D-alanine ligase B	COG:COG1181, EC:6.3.2.4, SO:0001217, UniRef:UniRef50_A0A143XAB2, UserProtein:GCF_011405655.1_00138
contig_1	cds	175959	176597	-	GCF_011405655.1_00139		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SJE0, UserProtein:GCF_011405655.1_00139
contig_1	cds	176739	179708	+	GCF_011405655.1_00140	dinG	3'-5' exonuclease DinG	EC:3.1.-.-, SO:0001217, UniRef:UniRef50_F7UYK3, UserProtein:GCF_011405655.1_00140
contig_1	cds	179724	180959	+	GCF_011405655.1_00141		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A4S4G1Y9, UserProtein:GCF_011405655.1_00141
contig_1	cds	181021	184149	+	GCF_011405655.1_00142		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SH29, UserProtein:GCF_011405655.1_00142
contig_1	cds	184402	184896	+	GCF_011405655.1_00144		IS200/IS605 family transposase ISStin10	SO:0001217, UniRef:UniRef50_A0A316PGJ2, UserProtein:GCF_011405655.1_00144
contig_1	cds	185356	185649	+	GCF_011405655.1_00145	rpsF	30S ribosomal protein S6	COG:COG0360, SO:0001217, UniRef:UniRef50_E1QXP2, UserProtein:GCF_011405655.1_00145
contig_1	cds	185696	186205	+	GCF_011405655.1_00146	ssb	Single-stranded DNA-binding protein	COG:COG0629, SO:0001217, UniRef:UniRef50_U2TIN8, UserProtein:GCF_011405655.1_00146
contig_1	cds	186226	186486	+	GCF_011405655.1_00147		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A133XTX5, UserProtein:GCF_011405655.1_00147
contig_1	cds	186504	187088	+	GCF_011405655.1_00148		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A133ZF32, UserProtein:GCF_011405655.1_00148
contig_1	cds	187245	188660	+	GCF_011405655.1_00149	dnaC	Replicative DNA helicase	COG:COG0305, EC:3.6.4.12, SO:0001217, UniRef:UniRef50_A0A1Y4FTB9, UserProtein:GCF_011405655.1_00149
contig_1	cds	188670	189950	+	GCF_011405655.1_00150		hypothetical protein	UserProtein:GCF_011405655.1_00150
contig_1	cds	189947	192172	+	GCF_011405655.1_00151		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2K2U464, UserProtein:GCF_011405655.1_00151
contig_1	cds	192167	192382	-	GCF_011405655.1_00152		hypothetical protein	UserProtein:GCF_011405655.1_00152
contig_1	cds	192536	193861	+	GCF_011405655.1_00153	purA	Adenylosuccinate synthetase	COG:COG0104, EC:6.3.4.4, SO:0001217, UniRef:UniRef50_A0A2A5D9S7, UserProtein:GCF_011405655.1_00153
contig_1	cds	194052	195344	+	GCF_011405655.1_00154	purD	Phosphoribosylamine--glycine ligase	COG:COG0151, EC:6.3.4.13, SO:0001217, UniRef:UniRef50_F2N9C2, UserProtein:GCF_011405655.1_00154
contig_1	cds	195449	196894	+	GCF_011405655.1_00155		hypothetical protein	SO:0001217, UniRef:UniRef50_K0YIY8, UserProtein:GCF_011405655.1_00155
contig_1	cds	196904	197605	+	GCF_011405655.1_00156		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A369NZF3, UserProtein:GCF_011405655.1_00156
contig_1	cds	197650	198747	-	GCF_011405655.1_00157		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1Y3XM18, UserProtein:GCF_011405655.1_00157
contig_1	cds	199044	200348	+	GCF_011405655.1_00158		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5K1IWI1, UserProtein:GCF_011405655.1_00158
contig_1	cds	200713	201300	-	GCF_011405655.1_00160	yfcE	Phosphodiesterase YfcE	COG:COG0622, EC:3.1.4.-, SO:0001217, UniRef:UniRef50_A0A143XA84, UserProtein:GCF_011405655.1_00160
contig_1	cds	201579	202928	+	GCF_011405655.1_00161		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SJF7, UserProtein:GCF_011405655.1_00161
contig_1	cds	203018	203926	-	GCF_011405655.1_00162		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVF6, UserProtein:GCF_011405655.1_00162
contig_1	cds	204145	204981	-	GCF_011405655.1_00163	proC	Pyrroline-5-carboxylate reductase	COG:COG0345, EC:1.5.1.2, SO:0001217, UniRef:UniRef50_R9KVW0, UserProtein:GCF_011405655.1_00163
contig_1	cds	205323	206726	-	GCF_011405655.1_00164	puuP	Putrescine importer PuuP	COG:COG0531, SO:0001217, UniRef:UniRef50_R9L3M4, UserProtein:GCF_011405655.1_00164
contig_1	cds	207029	207934	-	GCF_011405655.1_00165		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVP4, UserProtein:GCF_011405655.1_00165
contig_1	cds	208004	208465	-	GCF_011405655.1_00166		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SI39, UserProtein:GCF_011405655.1_00166
contig_1	cds	208727	209947	+	GCF_011405655.1_00167		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SHA2, UserProtein:GCF_011405655.1_00167
contig_1	cds	210007	210540	+	GCF_011405655.1_00168		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVG1, UserProtein:GCF_011405655.1_00168
contig_1	cds	210759	211874	+	GCF_011405655.1_00169		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A4T9T8T6, UserProtein:GCF_011405655.1_00169
contig_1	cds	211877	213109	-	GCF_011405655.1_00170	lysN_1	2-aminoadipate transaminase	COG:COG1167, EC:2.6.1.39, SO:0001217, UniRef:UniRef50_A0A174LRB9, UserProtein:GCF_011405655.1_00170
contig_1	cds	213482	214096	-	GCF_011405655.1_00171		hypothetical protein	UserProtein:GCF_011405655.1_00171
contig_1	cds	214238	215152	-	GCF_011405655.1_00172		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SIS0, UserProtein:GCF_011405655.1_00172
