# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	22679	24904	+	GCF_000478885.1_00020	smc_1	Chromosome partition protein Smc	SO:0001217, UniRef:UniRef50_A0A2K2U464, UserProtein:GCF_000478885.1_00020
contig_1	cds	24899	25114	-	GCF_000478885.1_00021		hypothetical protein	UserProtein:GCF_000478885.1_00021
contig_1	cds	25268	26593	+	GCF_000478885.1_00022	purA	Adenylosuccinate synthetase	COG:COG0104, EC:6.3.4.4, SO:0001217, UniRef:UniRef50_A0A2A5D9S7, UserProtein:GCF_000478885.1_00022
contig_1	cds	26805	28097	+	GCF_000478885.1_00023	purD	Phosphoribosylamine--glycine ligase	COG:COG0151, EC:6.3.4.13, SO:0001217, UniRef:UniRef50_F2N9C2, UserProtein:GCF_000478885.1_00023
contig_1	cds	28201	29646	+	GCF_000478885.1_00024		hypothetical protein	SO:0001217, UniRef:UniRef50_K0YIY8, UserProtein:GCF_000478885.1_00024
contig_1	cds	29656	30315	+	GCF_000478885.1_00025		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A369NZF3, UserProtein:GCF_000478885.1_00025
contig_1	cds	30812	31765	+	GCF_000478885.1_00027		IS200/IS605 family transposase ISHaha9	UserProtein:GCF_000478885.1_00027
contig_1	cds	32428	33033	-	GCF_000478885.1_00028	yfcE	Phosphodiesterase YfcE	COG:COG0622, EC:3.1.4.-, SO:0001217, UniRef:UniRef50_A0A143XA84, UserProtein:GCF_000478885.1_00028
contig_1	cds	33315	34664	+	GCF_000478885.1_00029		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SJF7, UserProtein:GCF_000478885.1_00029
contig_1	cds	34753	35661	-	GCF_000478885.1_00030		hypothetical protein	UserProtein:GCF_000478885.1_00030
contig_1	cds	35851	36687	-	GCF_000478885.1_00031	proC	Pyrroline-5-carboxylate reductase	COG:COG0345, EC:1.5.1.2, SO:0001217, UniRef:UniRef50_R9KVW0, UserProtein:GCF_000478885.1_00031
contig_1	cds	37000	38403	-	GCF_000478885.1_00032	puuP	Putrescine importer PuuP	COG:COG0531, SO:0001217, UniRef:UniRef50_R9L3M4, UserProtein:GCF_000478885.1_00032
contig_1	cds	38680	39585	-	GCF_000478885.1_00033		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVP4, UserProtein:GCF_000478885.1_00033
contig_1	cds	39824	40285	-	GCF_000478885.1_00034		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SI39, UserProtein:GCF_000478885.1_00034
contig_1	cds	40624	41697	+	GCF_000478885.1_00035		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SHA2, UserProtein:GCF_000478885.1_00035
contig_1	cds	41752	42288	+	GCF_000478885.1_00036		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVG1, UserProtein:GCF_000478885.1_00036
contig_1	cds	42507	43622	+	GCF_000478885.1_00037		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A4T9T8T6, UserProtein:GCF_000478885.1_00037
contig_1	cds	43831	45063	-	GCF_000478885.1_00038	lysN_1	2-aminoadipate transaminase	COG:COG1167, EC:2.6.1.39, SO:0001217, UniRef:UniRef50_A0A174LRB9, UserProtein:GCF_000478885.1_00038
contig_1	cds	45378	46292	-	GCF_000478885.1_00039		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SIS0, UserProtein:GCF_000478885.1_00039
contig_1	cds	46360	46776	-	GCF_000478885.1_00040		hypothetical protein	UserProtein:GCF_000478885.1_00040
contig_1	cds	47376	48203	+	GCF_000478885.1_00041	soj_1	Sporulation initiation inhibitor protein Soj	COG:COG1192, EC:3.6.-.-, SO:0001217, UniRef:UniRef50_R8W272, UserProtein:GCF_000478885.1_00041
contig_1	cds	48157	49095	+	GCF_000478885.1_00042	noc_2	Nucleoid occlusion protein	SO:0001217, UniRef:UniRef50_A0A6N6NT04, UserProtein:GCF_000478885.1_00042
contig_1	cds	49321	50112	+	GCF_000478885.1_00043		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UX90, UserProtein:GCF_000478885.1_00043
contig_1	cds	50206	52497	+	GCF_000478885.1_00044		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UYH4, UserProtein:GCF_000478885.1_00044
contig_1	cds	52549	52686	-	GCF_000478885.1_00045		hypothetical protein	UserProtein:GCF_000478885.1_00045
contig_1	cds	52789	58830	+	GCF_000478885.1_00046		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UYH0, UserProtein:GCF_000478885.1_00046
contig_1	cds	58827	59612	+	GCF_000478885.1_00047		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A842FB00, UserProtein:GCF_000478885.1_00047
contig_1	cds	59603	60148	+	GCF_000478885.1_00048		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UYG8, UserProtein:GCF_000478885.1_00048
contig_1	cds	60145	61488	+	GCF_000478885.1_00049		hypothetical protein	UserProtein:GCF_000478885.1_00049
contig_1	cds	61451	62362	-	GCF_000478885.1_00050		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UYG6, UserProtein:GCF_000478885.1_00050
contig_1	cds	62544	63566	-	GCF_000478885.1_00051		hypothetical protein	SO:0001217, UniRef:UniRef50_R9L3N1, UserProtein:GCF_000478885.1_00051
contig_1	cds	63705	64673	+	GCF_000478885.1_00052		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UX81, UserProtein:GCF_000478885.1_00052
contig_1	cds	64808	65137	+	GCF_000478885.1_00053		hypothetical protein	UserProtein:GCF_000478885.1_00053
contig_1	cds	65139	66485	+	GCF_000478885.1_00054		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UX79, UserProtein:GCF_000478885.1_00054
contig_1	cds	66460	67185	+	GCF_000478885.1_00055		hypothetical protein	SO:0001217, UniRef:UniRef50_F0HQ52, UserProtein:GCF_000478885.1_00055
contig_1	cds	67189	68055	+	GCF_000478885.1_00056		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A8B2THN2, UserProtein:GCF_000478885.1_00056
contig_1	cds	68052	69872	+	GCF_000478885.1_00057	virD4	Protein VirD4	SO:0001217, UniRef:UniRef50_A0A0M2NLR1, UserProtein:GCF_000478885.1_00057
contig_1	cds	69856	70188	+	GCF_000478885.1_00058		hypothetical protein	UserProtein:GCF_000478885.1_00058
contig_1	cds	70223	71062	+	GCF_000478885.1_00059		hypothetical protein	SO:0001217, UniRef:UniRef50_K4LCH7, UserProtein:GCF_000478885.1_00059
contig_1	cds	71166	71549	+	GCF_000478885.1_00060		hypothetical protein	SO:0001217, UniRef:UniRef50_R5PQY4, UserProtein:GCF_000478885.1_00060
contig_1	cds	71530	73839	+	GCF_000478885.1_00061		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UX72, UserProtein:GCF_000478885.1_00061
contig_1	cds	74287	75438	+	GCF_000478885.1_00062		hypothetical protein	UserProtein:GCF_000478885.1_00062
contig_1	cds	75435	75992	-	GCF_000478885.1_00063		hypothetical protein	UserProtein:GCF_000478885.1_00063
contig_1	cds	76525	78102	+	GCF_000478885.1_00064	gsiB	Glutathione-binding protein GsiB	COG:COG0747, SO:0001217, UniRef:UniRef50_F0HQ61, UserProtein:GCF_000478885.1_00064
contig_1	cds	78120	79097	+	GCF_000478885.1_00065	gsiC	Glutathione transport system permease protein GsiC	COG:COG0601, SO:0001217, UniRef:UniRef50_F0HQ62, UserProtein:GCF_000478885.1_00065
contig_1	cds	79081	79896	+	GCF_000478885.1_00066	sapC	Putrescine export system permease protein SapC	COG:COG4171, SO:0001217, UniRef:UniRef50_A0A1H9U6G1, UserProtein:GCF_000478885.1_00066
contig_1	cds	79893	81374	+	GCF_000478885.1_00067	yejF	putative ABC transporter ATP-binding protein YejF	COG:COG4172, SO:0001217, UniRef:UniRef50_F0HQ64, UserProtein:GCF_000478885.1_00067
contig_1	cds	81384	82145	-	GCF_000478885.1_00068	pikA5	Thioesterase PikA5	EC:3.1.2.-, SO:0001217, UniRef:UniRef50_F0HQ65, UserProtein:GCF_000478885.1_00068
contig_1	cds	82168	83580	-	GCF_000478885.1_00069		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6N8IKK6, UserProtein:GCF_000478885.1_00069
contig_1	cds	83580	84563	-	GCF_000478885.1_00070		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UXY3, UserProtein:GCF_000478885.1_00070
contig_1	cds	84560	85582	-	GCF_000478885.1_00071		hypothetical protein	SO:0001217, UniRef:UniRef50_F0HQ68, UserProtein:GCF_000478885.1_00071
contig_1	cds	85579	90972	-	GCF_000478885.1_00072	dltA_1	D-alanine--D-alanyl carrier protein ligase	EC:6.2.1.54, SO:0001217, UniRef:UniRef50_F0HQ69, UserProtein:GCF_000478885.1_00072
contig_1	cds	90969	98816	-	GCF_000478885.1_00073	dltA_2	D-alanine--D-alanyl carrier protein ligase	EC:6.2.1.54, SO:0001217, UniRef:UniRef50_A0A1Y4FTW4, UserProtein:GCF_000478885.1_00073
contig_1	cds	98891	99325	+	GCF_000478885.1_00074		hypothetical protein	UserProtein:GCF_000478885.1_00074
contig_1	cds	99191	99844	-	GCF_000478885.1_00075		hypothetical protein	UserProtein:GCF_000478885.1_00075
contig_1	cds	101498	103039	+	GCF_000478885.1_00076	dhbE	2,3-dihydroxybenzoate-AMP ligase	COG:COG1021, EC:6.3.2.-, SO:0001217, UniRef:UniRef50_F7UXX9, UserProtein:GCF_000478885.1_00076
contig_1	cds	103103	103837	+	GCF_000478885.1_00077		hypothetical protein	UserProtein:GCF_000478885.1_00077
contig_1	cds	103854	105704	+	GCF_000478885.1_00078	msbA	Lipid A export ATP-binding/permease protein MsbA	COG:COG1132, EC:7.5.2.6, SO:0001217, UniRef:UniRef50_A0A1E8F0A9, UserProtein:GCF_000478885.1_00078
contig_1	cds	105694	107430	+	GCF_000478885.1_00079		putative ABC transporter ATP-binding protein	COG:COG1132, SO:0001217, UniRef:UniRef50_A0A1C6HHV8, UserProtein:GCF_000478885.1_00079
contig_1	cds	107884	109176	+	GCF_000478885.1_00080	metK_1	S-adenosylmethionine synthase	EC:2.5.1.6, SO:0001217, UniRef:UniRef50_O83772, UserProtein:GCF_000478885.1_00080
contig_1	cds	109206	110135	+	GCF_000478885.1_00081	cysK_1	Cysteine synthase	EC:2.5.1.47, SO:0001217, UniRef:UniRef50_A0A352WHA8, UserProtein:GCF_000478885.1_00081
contig_1	cds	110187	111443	+	GCF_000478885.1_00082	ahcY_1	Adenosylhomocysteinase	COG:COG0499, EC:3.3.1.1, SO:0001217, UniRef:UniRef50_P74008, UserProtein:GCF_000478885.1_00082
contig_1	cds	112752	112901	+	GCF_000478885.1_00083		hypothetical protein	UserProtein:GCF_000478885.1_00083
contig_1	cds	113028	113480	+	GCF_000478885.1_00084		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UXX0, UserProtein:GCF_000478885.1_00084
contig_1	cds	113723	114235	+	GCF_000478885.1_00085		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UXW9, UserProtein:GCF_000478885.1_00085
contig_1	cds	114232	114618	+	GCF_000478885.1_00086		hypothetical protein	SO:0001217, UniRef:UniRef50_F0HSQ8, UserProtein:GCF_000478885.1_00086
contig_1	cds	114575	115945	+	GCF_000478885.1_00087	xerC	Tyrosine recombinase XerC	SO:0001217, UniRef:UniRef50_F7UXW7, UserProtein:GCF_000478885.1_00087
contig_1	cds	116443	116757	-	GCF_000478885.1_00089		hypothetical protein	UserProtein:GCF_000478885.1_00089
contig_1	cds	117010	117747	+	GCF_000478885.1_00090		hypothetical protein	SO:0001217, UniRef:UniRef50_C6LBN4, UserProtein:GCF_000478885.1_00090
contig_1	cds	117799	119256	-	GCF_000478885.1_00091	aldH1	4,4'-diaponeurosporen-aldehyde dehydrogenase	COG:COG1012, EC:1.2.1.-, SO:0001217, UniRef:UniRef50_A0A087ATE1, UserProtein:GCF_000478885.1_00091
contig_1	cds	119281	120060	-	GCF_000478885.1_00092	sdh	Serine 3-dehydrogenase	EC:1.1.1.276, SO:0001217, UniRef:UniRef50_R7B2B7, UserProtein:GCF_000478885.1_00092
contig_1	cds	120184	120870	+	GCF_000478885.1_00093	mupP	N-acetylmuramic acid 6-phosphate phosphatase	COG:COG0546, EC:3.1.3.105, SO:0001217, UniRef:UniRef50_A0A6F8SHQ7, UserProtein:GCF_000478885.1_00093
contig_1	cds	120876	121334	+	GCF_000478885.1_00094		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SJP4, UserProtein:GCF_000478885.1_00094
contig_1	cds	121608	122825	-	GCF_000478885.1_00095	lnpD	UDP-glucose 4-epimerase	EC:5.1.3.2, SO:0001217, UniRef:UniRef50_A0A0I7JKQ9, UserProtein:GCF_000478885.1_00095
contig_1	cds	123567	198482	+	GCF_000478885.1_00096		hypothetical protein	UserProtein:GCF_000478885.1_00096
contig_1	cds	198767	200179	+	GCF_000478885.1_00097	glmM_1	Phosphoglucosamine mutase	COG:COG1109, EC:5.4.2.10, SO:0001217, UniRef:UniRef50_R9KVU4, UserProtein:GCF_000478885.1_00097
contig_1	cds	200355	201719	+	GCF_000478885.1_00098		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A117J531, UserProtein:GCF_000478885.1_00098
contig_1	cds	201731	202186	-	GCF_000478885.1_00099		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KV28, UserProtein:GCF_000478885.1_00099
contig_1	cds	202261	202515	+	GCF_000478885.1_00100		hypothetical protein	SO:0001217, UniRef:UniRef50_R7CGK7, UserProtein:GCF_000478885.1_00100
contig_1	cds	202528	202950	+	GCF_000478885.1_00101		Putative nickel-responsive regulator	COG:COG0864, SO:0001217, UniRef:UniRef50_A0A316P170, UserProtein:GCF_000478885.1_00101
contig_1	cds	202950	203975	+	GCF_000478885.1_00102	hypE	Carbamoyl dehydratase HypE	EC:4.2.1.-, SO:0001217, UniRef:UniRef50_A0A2N5KVI1, UserProtein:GCF_000478885.1_00102
contig_1	cds	204129	204317	+	GCF_000478885.1_00103		Ferredoxin-2	UserProtein:GCF_000478885.1_00103
contig_1	cds	204532	205029	+	GCF_000478885.1_00104		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6N8JJT7, UserProtein:GCF_000478885.1_00104
contig_1	cds	205192	210525	+	GCF_000478885.1_00105		hypothetical protein	UserProtein:GCF_000478885.1_00105
contig_1	cds	210675	211073	-	GCF_000478885.1_00106		hypothetical protein	UserProtein:GCF_000478885.1_00106
contig_1	cds	211015	212124	-	GCF_000478885.1_00107		hypothetical protein	UserProtein:GCF_000478885.1_00107
contig_1	cds	212525	214429	+	GCF_000478885.1_00108	dnaK	Chaperone protein DnaK	COG:COG0443, SO:0001217, UniRef:UniRef50_P0A3J0, UserProtein:GCF_000478885.1_00108
contig_1	cds	214435	215118	+	GCF_000478885.1_00109	grpE	Protein GrpE	UserProtein:GCF_000478885.1_00109
contig_1	cds	215206	216156	+	GCF_000478885.1_00110	dnaJ	Chaperone protein DnaJ	COG:COG0484, SO:0001217, UniRef:UniRef50_F7UXU9, UserProtein:GCF_000478885.1_00110
contig_1	cds	216147	216524	+	GCF_000478885.1_00111		hypothetical protein	UserProtein:GCF_000478885.1_00111
contig_1	cds	216856	219669	+	GCF_000478885.1_00112	clpB	Chaperone protein ClpB	COG:COG0542, SO:0001217, UniRef:UniRef50_A0A0K1F1A0, UserProtein:GCF_000478885.1_00112
contig_1	cds	220643	221239	-	GCF_000478885.1_00113		hypothetical protein	UserProtein:GCF_000478885.1_00113
contig_1	cds	221296	221862	-	GCF_000478885.1_00114		hypothetical protein	UserProtein:GCF_000478885.1_00114
contig_1	cds	222044	223390	-	GCF_000478885.1_00115	gltT	Proton/sodium-glutamate symport protein	SO:0001217, UniRef:UniRef50_R6HNC6, UserProtein:GCF_000478885.1_00115
contig_1	cds	223664	225073	+	GCF_000478885.1_00116	pepV	Beta-Ala-Xaa dipeptidase	EC:3.4.13.-, SO:0001217, UniRef:UniRef50_F7UXF0, UserProtein:GCF_000478885.1_00116
contig_1	cds	225282	225995	+	GCF_000478885.1_00117	lytR	Sensory transduction protein LytR	COG:COG3279, SO:0001217, UniRef:UniRef50_A0A7X5D4P8, UserProtein:GCF_000478885.1_00117
contig_1	cds	226212	228107	+	GCF_000478885.1_00118	pgi	Glucose-6-phosphate isomerase	EC:5.3.1.9, SO:0001217, UniRef:UniRef50_F7UXF4, UserProtein:GCF_000478885.1_00118
contig_1	cds	228144	230636	+	GCF_000478885.1_00119	hypF	Carbamoyltransferase HypF	COG:COG0068, EC:6.2.-.-, SO:0001217, UniRef:UniRef50_A0A143X1I6, UserProtein:GCF_000478885.1_00119
contig_1	cds	230718	230966	+	GCF_000478885.1_00120	hypC	Hydrogenase maturation factor HypC	COG:COG0298, SO:0001217, UniRef:UniRef50_D0WH86, UserProtein:GCF_000478885.1_00120
contig_1	cds	231301	232392	+	GCF_000478885.1_00121	hypD	Hydrogenase maturation factor HypD	COG:COG0409, SO:0001217, UniRef:UniRef50_C0QLW7, UserProtein:GCF_000478885.1_00121
contig_1	cds	232405	232704	+	GCF_000478885.1_00122		hypothetical protein	UserProtein:GCF_000478885.1_00122
contig_1	cds	232915	233598	-	GCF_000478885.1_00123		hypothetical protein	UserProtein:GCF_000478885.1_00123
contig_1	cds	233723	234601	-	GCF_000478885.1_00124		IS3 family transposase ISGmo1	SO:0001217, UniRef:UniRef50_A0A413UL05, UserProtein:GCF_000478885.1_00124
contig_1	cds	234619	234912	-	GCF_000478885.1_00125		hypothetical protein	UserProtein:GCF_000478885.1_00125
contig_1	cds	235014	235112	+	GCF_000478885.1_00126		hypothetical protein	UserProtein:GCF_000478885.1_00126
contig_1	cds	235192	235635	-	GCF_000478885.1_00127	yqeY	putative protein YqeY	COG:COG1610, SO:0001217, UniRef:UniRef50_G1WK91, UserProtein:GCF_000478885.1_00127
contig_1	cds	235810	238023	-	GCF_000478885.1_00128		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVY2, UserProtein:GCF_000478885.1_00128
contig_1	cds	238013	239038	-	GCF_000478885.1_00129	btuD	Vitamin B12 import ATP-binding protein BtuD	EC:7.6.2.8, SO:0001217, UniRef:UniRef50_J8YY30, UserProtein:GCF_000478885.1_00129
contig_1	cds	239038	239136	-	GCF_000478885.1_00130		hypothetical protein	UserProtein:GCF_000478885.1_00130
contig_1	cds	239510	240676	-	GCF_000478885.1_00131	sasA	Adaptive-response sensory-kinase SasA	EC:2.7.-.-, SO:0001217, UniRef:UniRef50_R9KW50, UserProtein:GCF_000478885.1_00131
contig_1	cds	240673	241347	-	GCF_000478885.1_00132	graR	Response regulator protein GraR	COG:COG0745, SO:0001217, UniRef:UniRef50_U2TUF7, UserProtein:GCF_000478885.1_00132
contig_1	cds	241912	242712	+	GCF_000478885.1_00133		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KTQ1, UserProtein:GCF_000478885.1_00133
contig_1	cds	242731	242952	+	GCF_000478885.1_00134		hypothetical protein	UserProtein:GCF_000478885.1_00134
contig_1	cds	243461	243952	+	GCF_000478885.1_00135		hypothetical protein	SO:0001217, UniRef:UniRef50_K0YIA3, UserProtein:GCF_000478885.1_00135
contig_1	cds	243953	245887	+	GCF_000478885.1_00136		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A4S4G3M7, UserProtein:GCF_000478885.1_00136
contig_1	cds	245916	246767	+	GCF_000478885.1_00137		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A3N0ARS9, UserProtein:GCF_000478885.1_00137
contig_1	cds	247046	247816	+	GCF_000478885.1_00138		hypothetical protein	UserProtein:GCF_000478885.1_00138
contig_1	cds	247870	248532	+	GCF_000478885.1_00139		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1V1RHJ0, UserProtein:GCF_000478885.1_00139
contig_1	cds	248542	249213	+	GCF_000478885.1_00140	trkA	Trk system potassium uptake protein TrkA	COG:COG0569, SO:0001217, UniRef:UniRef50_A0A143X9A0, UserProtein:GCF_000478885.1_00140
contig_1	cds	249267	251336	+	GCF_000478885.1_00141		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KV71, UserProtein:GCF_000478885.1_00141
contig_1	cds	251408	251935	+	GCF_000478885.1_00142	aroK_1	Shikimate kinase 1	COG:COG0703, EC:2.7.1.71, SO:0001217, UniRef:UniRef50_A0A143WWR9, UserProtein:GCF_000478885.1_00142
contig_1	cds	252226	253743	+	GCF_000478885.1_00143	alsT	Amino-acid carrier protein AlsT	COG:COG1115, SO:0001217, UniRef:UniRef50_F7JLF8, UserProtein:GCF_000478885.1_00143
contig_1	cds	253906	255246	+	GCF_000478885.1_00144	mobA	Molybdenum cofactor guanylyltransferase	EC:2.7.7.77, SO:0001217, UniRef:UniRef50_A0A143X693, UserProtein:GCF_000478885.1_00144
contig_1	cds	255265	256437	+	GCF_000478885.1_00145	napF	Ferredoxin-type protein NapF	UserProtein:GCF_000478885.1_00145
contig_1	cds	256736	257584	+	GCF_000478885.1_00146	fliY	L-cystine-binding protein FliY	COG:COG0834, SO:0001217, UniRef:UniRef50_A0A5K1IIU9, UserProtein:GCF_000478885.1_00146
contig_1	cds	257713	258366	+	GCF_000478885.1_00147	artQ	Arginine transport system permease protein ArtQ	COG:COG0765, SO:0001217, UniRef:UniRef50_F3B4W9, UserProtein:GCF_000478885.1_00147
contig_1	cds	258377	259150	+	GCF_000478885.1_00148	tcyC	L-cystine import ATP-binding protein TcyC	COG:COG1126, EC:3.6.3.-, SO:0001217, UniRef:UniRef50_A5EBF6, UserProtein:GCF_000478885.1_00148
contig_1	cds	259412	261004	+	GCF_000478885.1_00149		hypothetical protein	UserProtein:GCF_000478885.1_00149
contig_1	cds	261233	262642	+	GCF_000478885.1_00150	pqqE	PqqA peptide cyclase	EC:1.21.98.4, SO:0001217, UniRef:UniRef50_A0A6F8SJ99, UserProtein:GCF_000478885.1_00150
contig_1	cds	263361	263681	+	GCF_000478885.1_00151		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6N8JP51, UserProtein:GCF_000478885.1_00151
contig_1	cds	264335	264580	+	GCF_000478885.1_00152		hypothetical protein	UserProtein:GCF_000478885.1_00152
contig_1	cds	264792	265010	+	GCF_000478885.1_00153		hypothetical protein	SO:0001217, UniRef:UniRef50_R9PKS5, UserProtein:GCF_000478885.1_00153
contig_1	cds	265149	265379	-	GCF_000478885.1_00154		hypothetical protein	UserProtein:GCF_000478885.1_00154
contig_1	cds	265681	266397	+	GCF_000478885.1_00155	pyrH	Uridylate kinase	COG:COG0528, EC:2.7.4.22, SO:0001217, UniRef:UniRef50_L8N3A9, UserProtein:GCF_000478885.1_00155
contig_1	cds	266540	267103	+	GCF_000478885.1_00156	frr	Ribosome-recycling factor	COG:COG0233, SO:0001217, UniRef:UniRef50_A0A1Y4BDI3, UserProtein:GCF_000478885.1_00156
contig_1	cds	267141	267920	+	GCF_000478885.1_00157	uppS	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	EC:2.5.1.31, SO:0001217, UniRef:UniRef50_D0WJ17, UserProtein:GCF_000478885.1_00157
contig_1	cds	268119	269147	+	GCF_000478885.1_00158		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVR8, UserProtein:GCF_000478885.1_00158
contig_1	cds	269202	270464	+	GCF_000478885.1_00159	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	EC:1.1.1.267, SO:0001217, UniRef:UniRef50_B1I2I8, UserProtein:GCF_000478885.1_00159
contig_1	cds	270487	274305	-	GCF_000478885.1_00160		hypothetical protein	SO:0001217, UniRef:UniRef50_R9L3Y9, UserProtein:GCF_000478885.1_00160
contig_1	cds	274868	275980	+	GCF_000478885.1_00161		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A6F8SHF7, UserProtein:GCF_000478885.1_00161
contig_1	cds	276072	277142	+	GCF_000478885.1_00162	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)	COG:COG0821, EC:1.17.7.3, SO:0001217, UniRef:UniRef50_A0A4T9TB15, UserProtein:GCF_000478885.1_00162
