locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_011405655.1_00049	CDS	561	cutD	1.97.1.-		Choline trimethylamine-lyase activating enzyme
GCF_011405655.1_00050	CDS	852	senX3	2.7.13.3		Signal-transduction histidine kinase senX3
GCF_011405655.1_00051	CDS	732	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
GCF_011405655.1_00052	CDS	1044				hypothetical protein
GCF_011405655.1_00053	CDS	1938	urdA_2	1.3.99.33	COG0431	Urocanate reductase
GCF_011405655.1_00054	CDS	1386				hypothetical protein
GCF_011405655.1_00055	CDS	1347				hypothetical protein
GCF_011405655.1_00056	CDS	111				hypothetical protein
GCF_011405655.1_00057	CDS	828	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
GCF_011405655.1_00058	CDS	999	pstA		COG0581	Phosphate transport system permease protein PstA
GCF_011405655.1_00059	CDS	987				hypothetical protein
GCF_011405655.1_00060	CDS	972	pstS2		COG0226	Phosphate-binding protein PstS 2
GCF_011405655.1_00061	CDS	255				hypothetical protein
GCF_011405655.1_00062	CDS	282				hypothetical protein
GCF_011405655.1_00063	CDS	600				hypothetical protein
GCF_011405655.1_00064	CDS	819	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
GCF_011405655.1_00065	CDS	1266				hypothetical protein
GCF_011405655.1_00066	CDS	2334				hypothetical protein
GCF_011405655.1_00067	CDS	789				hypothetical protein
GCF_011405655.1_00068	CDS	1917	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GCF_011405655.1_00069	CDS	912	ecfT_1			Energy-coupling factor transporter transmembrane protein EcfT
GCF_011405655.1_00070	CDS	909				hypothetical protein
GCF_011405655.1_00071	CDS	657				hypothetical protein
GCF_011405655.1_00072	CDS	2595	smc_1			Chromosome partition protein Smc
GCF_011405655.1_00073	CDS	2175	smc_2			Chromosome partition protein Smc
GCF_011405655.1_00074	CDS	1305	der_1			GTPase Der
GCF_011405655.1_00075	CDS	1446				hypothetical protein
GCF_011405655.1_00076	CDS	1224	bioB	2.8.1.6		Biotin synthase
GCF_011405655.1_00077	CDS	1794	hndD	1.12.1.3	COG3383	NADP-reducing hydrogenase subunit HndD
GCF_011405655.1_00078	CDS	1839	sfrB	1.-.-.-	COG0493	NADPH-Fe(3+) oxidoreductase subunit beta
GCF_011405655.1_00079	CDS	1311	vioD_1	4.2.1.145		Capreomycidine synthase
GCF_011405655.1_00080	CDS	438				hypothetical protein
GCF_011405655.1_00081	CDS	1281				hypothetical protein
GCF_011405655.1_00082	CDS	1374				hypothetical protein
GCF_011405655.1_00083	CDS	690				hypothetical protein
GCF_011405655.1_00084	CDS	1173	adh2	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
GCF_011405655.1_00085	CDS	501				hypothetical protein
GCF_011405655.1_00086	CDS	372				hypothetical protein
GCF_011405655.1_00087	CDS	156				hypothetical protein
GCF_011405655.1_00088	CDS	942				hypothetical protein
GCF_011405655.1_00089	CDS	1962	mdtD_1			Putative multidrug resistance protein MdtD
GCF_011405655.1_00090	CDS	1311				hypothetical protein
GCF_011405655.1_00091	CDS	1359				hypothetical protein
GCF_011405655.1_00092	CDS	1707				hypothetical protein
GCF_011405655.1_00093	CDS	792				hypothetical protein
GCF_011405655.1_00094	tRNA	92				tRNA-Ser(gga)
GCF_011405655.1_00095	tRNA	93				tRNA-Ser(cga)
GCF_011405655.1_00096	CDS	792	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
GCF_011405655.1_00097	CDS	1368	surA	5.2.1.8		Chaperone SurA
GCF_011405655.1_00098	CDS	1815	typA		COG1217	GTP-binding protein TypA/BipA
GCF_011405655.1_00099	CDS	624	dnaJ_1			Chaperone protein DnaJ
GCF_011405655.1_00100	CDS	312				hypothetical protein
GCF_011405655.1_00101	CDS	708				hypothetical protein
GCF_011405655.1_00102	CDS	1458				hypothetical protein
GCF_011405655.1_00103	CDS	963				hypothetical protein
GCF_011405655.1_00104	CDS	159				hypothetical protein
GCF_011405655.1_00105	CDS	627				hypothetical protein
GCF_011405655.1_00106	CDS	678				hypothetical protein
GCF_011405655.1_00107	CDS	495				hypothetical protein
GCF_011405655.1_00108	CDS	1539				hypothetical protein
GCF_011405655.1_00109	CDS	4428				hypothetical protein
GCF_011405655.1_00110	CDS	1410				hypothetical protein
GCF_011405655.1_00111	CDS	1086				hypothetical protein
GCF_011405655.1_00112	CDS	381				hypothetical protein
GCF_011405655.1_00113	CDS	1299				hypothetical protein
GCF_011405655.1_00114	CDS	741				hypothetical protein
GCF_011405655.1_00115	CDS	609				hypothetical protein
GCF_011405655.1_00116	CDS	4731				hypothetical protein
GCF_011405655.1_00117	CDS	2160				hypothetical protein
GCF_011405655.1_00118	tRNA	76				tRNA-Ala(tgc)
GCF_011405655.1_00119	tRNA	77				tRNA-Ile(gat)
GCF_011405655.1_00120	CDS	513			COG1259	putative protein
GCF_011405655.1_00121	CDS	114				hypothetical protein
GCF_011405655.1_00122	CDS	2841	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
GCF_011405655.1_00123	CDS	1944	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
GCF_011405655.1_00124	CDS	1107	recF		COG1195	DNA replication and repair protein RecF
GCF_011405655.1_00125	CDS	1101	dnaN		COG0592	Beta sliding clamp
GCF_011405655.1_00126	CDS	1134				hypothetical protein
GCF_011405655.1_00127	CDS	1629	dnaA		COG0593	Chromosomal replication initiator protein DnaA
GCF_011405655.1_00128	CDS	777	yidC			Membrane protein insertase YidC
GCF_011405655.1_00129	CDS	588				hypothetical protein
GCF_011405655.1_00130	CDS	675	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
GCF_011405655.1_00131	CDS	996				Iron-sulfur cluster carrier protein
GCF_011405655.1_00132	CDS	1059	noc_1			Nucleoid occlusion protein
GCF_011405655.1_00133	CDS	216				hypothetical protein
GCF_011405655.1_00134	CDS	798				IS21 family transposase ISMac9
GCF_011405655.1_00135	CDS	1230				hypothetical protein
GCF_011405655.1_00136	CDS	531				hypothetical protein
GCF_011405655.1_00137	CDS	924	rlmN_1	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
GCF_011405655.1_00138	CDS	1137	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
GCF_011405655.1_00139	CDS	639				hypothetical protein
GCF_011405655.1_00140	CDS	2970	dinG	3.1.-.-		3'-5' exonuclease DinG
GCF_011405655.1_00141	CDS	1236				hypothetical protein
GCF_011405655.1_00142	CDS	3129				hypothetical protein
GCF_011405655.1_00143	tRNA	76				tRNA-Arg(cct)
GCF_011405655.1_00144	CDS	495				IS200/IS605 family transposase ISStin10
GCF_011405655.1_00145	CDS	294	rpsF		COG0360	30S ribosomal protein S6
GCF_011405655.1_00146	CDS	510	ssb		COG0629	Single-stranded DNA-binding protein
GCF_011405655.1_00147	CDS	261				hypothetical protein
GCF_011405655.1_00148	CDS	585				hypothetical protein
GCF_011405655.1_00149	CDS	1416	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
GCF_011405655.1_00150	CDS	1281				hypothetical protein
GCF_011405655.1_00151	CDS	2226				hypothetical protein
GCF_011405655.1_00152	CDS	216				hypothetical protein
GCF_011405655.1_00153	CDS	1326	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
GCF_011405655.1_00154	CDS	1293	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
GCF_011405655.1_00155	CDS	1446				hypothetical protein
GCF_011405655.1_00156	CDS	702				hypothetical protein
GCF_011405655.1_00157	CDS	1098				hypothetical protein
GCF_011405655.1_00158	CDS	1305				hypothetical protein
GCF_011405655.1_00159	tRNA	76				tRNA-Phe(gaa)
GCF_011405655.1_00160	CDS	588	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
GCF_011405655.1_00161	CDS	1350				hypothetical protein
GCF_011405655.1_00162	CDS	909				hypothetical protein
GCF_011405655.1_00163	CDS	837	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
GCF_011405655.1_00164	CDS	1404	puuP		COG0531	Putrescine importer PuuP
GCF_011405655.1_00165	CDS	906				hypothetical protein
GCF_011405655.1_00166	CDS	462				hypothetical protein
GCF_011405655.1_00167	CDS	1221				hypothetical protein
GCF_011405655.1_00168	CDS	534				hypothetical protein
GCF_011405655.1_00169	CDS	1116				hypothetical protein
GCF_011405655.1_00170	CDS	1233	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
GCF_011405655.1_00171	CDS	615				hypothetical protein
GCF_011405655.1_00172	CDS	915				hypothetical protein
GCF_011405655.1_00173	CDS	417				hypothetical protein
GCF_011405655.1_00174	CDS	828	parA			Chromosome partitioning protein ParA
GCF_011405655.1_00175	CDS	939	noc_2			Nucleoid occlusion protein
GCF_011405655.1_00176	CDS	792				hypothetical protein
GCF_011405655.1_00177	CDS	2292				hypothetical protein
GCF_011405655.1_00178	CDS	138				hypothetical protein
GCF_011405655.1_00179	CDS	6045				hypothetical protein
GCF_011405655.1_00180	CDS	786				hypothetical protein
GCF_011405655.1_00181	CDS	546				hypothetical protein
GCF_011405655.1_00182	CDS	1344				hypothetical protein
GCF_011405655.1_00183	CDS	912				hypothetical protein
GCF_011405655.1_00184	CDS	1023				hypothetical protein
GCF_011405655.1_00185	CDS	969				hypothetical protein
GCF_011405655.1_00186	CDS	330				hypothetical protein
GCF_011405655.1_00187	CDS	1347				hypothetical protein
GCF_011405655.1_00188	CDS	726				hypothetical protein
GCF_011405655.1_00189	CDS	867				hypothetical protein
GCF_011405655.1_00190	CDS	1821				hypothetical protein
GCF_011405655.1_00191	CDS	333				hypothetical protein
GCF_011405655.1_00192	CDS	840				hypothetical protein
GCF_011405655.1_00193	CDS	384				hypothetical protein
GCF_011405655.1_00194	CDS	2310				hypothetical protein
GCF_011405655.1_00195	CDS	1152				hypothetical protein
GCF_011405655.1_00196	CDS	558				hypothetical protein
GCF_011405655.1_00197	CDS	1578	gsiB		COG0747	Glutathione-binding protein GsiB
GCF_011405655.1_00198	CDS	978	gsiC		COG0601	Glutathione transport system permease protein GsiC
GCF_011405655.1_00199	CDS	816	sapC		COG4171	Putrescine export system permease protein SapC
GCF_011405655.1_00200	CDS	1482	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
GCF_011405655.1_00201	CDS	762	pikAV	3.1.2.-		Thioesterase PikA5
GCF_011405655.1_00202	CDS	273				hypothetical protein
GCF_011405655.1_00203	CDS	1293				hypothetical protein
GCF_011405655.1_00204	CDS	984				hypothetical protein
GCF_011405655.1_00205	CDS	1023				hypothetical protein
GCF_011405655.1_00206	CDS	3558	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
GCF_011405655.1_00207	CDS	9951	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
GCF_011405655.1_00208	CDS	1542	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
GCF_011405655.1_00209	CDS	735				hypothetical protein
GCF_011405655.1_00210	CDS	1851	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
GCF_011405655.1_00211	CDS	1737			COG1132	putative ABC transporter ATP-binding protein
GCF_011405655.1_00212	CDS	381	mntR_1		COG1321	Transcriptional regulator MntR
GCF_011405655.1_00213	CDS	1293	metK_1	2.5.1.6		S-adenosylmethionine synthase
GCF_011405655.1_00214	CDS	930	cysK_1	2.5.1.47		Cysteine synthase
GCF_011405655.1_00215	CDS	1257	ahcY_1	3.3.1.1	COG0499	Adenosylhomocysteinase
GCF_011405655.1_00216	CDS	306	svp	2.7.8.7		4'-phosphopantetheinyl transferase Svp
GCF_011405655.1_00217	CDS	1293				hypothetical protein
GCF_011405655.1_00218	CDS	150				hypothetical protein
GCF_011405655.1_00219	CDS	453				hypothetical protein
GCF_011405655.1_00220	CDS	513				hypothetical protein
GCF_011405655.1_00221	CDS	387				hypothetical protein
GCF_011405655.1_00222	CDS	1371	xerC_1			Tyrosine recombinase XerC
GCF_011405655.1_00223	tRNA	74				tRNA-Gly(ccc)
GCF_011405655.1_00224	CDS	216				hypothetical protein
GCF_011405655.1_00225	CDS	798				IS21 family transposase ISMac9
GCF_011405655.1_00226	CDS	1230				hypothetical protein
GCF_011405655.1_00227	CDS	1722	noc_3			Nucleoid occlusion protein
GCF_011405655.1_00228	CDS	1239				hypothetical protein
GCF_011405655.1_00229	CDS	210				hypothetical protein
GCF_011405655.1_00230	CDS	741				IS21 family transposase ISSpu5
GCF_011405655.1_00231	CDS	1296				IS21 family transposase ISPpu7
GCF_011405655.1_00232	CDS	1314				hypothetical protein
GCF_011405655.1_00233	CDS	828				hypothetical protein
GCF_011405655.1_00234	CDS	1293				hypothetical protein
GCF_011405655.1_00235	CDS	2514				hypothetical protein
GCF_011405655.1_00236	CDS	1008	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
GCF_011405655.1_00237	CDS	1527				hypothetical protein
GCF_011405655.1_00238	CDS	1518				hypothetical protein
GCF_011405655.1_00239	CDS	2019				hypothetical protein
GCF_011405655.1_00240	CDS	282				hypothetical protein
GCF_011405655.1_00241	CDS	666				hypothetical protein
GCF_011405655.1_00242	CDS	684	hssR			Heme response regulator HssR
GCF_011405655.1_00243	CDS	1140	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
GCF_011405655.1_00244	CDS	990				hypothetical protein
GCF_011405655.1_00245	CDS	981	rhaR_1			HTH-type transcriptional activator RhaR
GCF_011405655.1_00246	CDS	753				hypothetical protein
GCF_011405655.1_00247	CDS	597				hypothetical protein
GCF_011405655.1_00248	CDS	729				hypothetical protein
GCF_011405655.1_00249	CDS	1491	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
GCF_011405655.1_00250	CDS	981	rhaR_2			HTH-type transcriptional activator RhaR
GCF_011405655.1_00251	CDS	1926	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GCF_011405655.1_00252	CDS	1767	msbA_2	7.5.2.6		Lipid A export ATP-binding/permease protein MsbA
GCF_011405655.1_00253	tRNA	75				tRNA-Gly(ccc)
GCF_011405655.1_00254	CDS	738				hypothetical protein
GCF_011405655.1_00255	CDS	1458	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
GCF_011405655.1_00256	CDS	780	sdh	1.1.1.276		Serine 3-dehydrogenase
GCF_011405655.1_00257	CDS	687	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
GCF_011405655.1_00258	CDS	459				hypothetical protein
GCF_011405655.1_00259	CDS	1218	lnpD	5.1.3.2		UDP-glucose 4-epimerase
GCF_011405655.1_00260	CDS	1413	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
GCF_011405655.1_00261	CDS	456				hypothetical protein
GCF_011405655.1_00262	CDS	255				hypothetical protein
GCF_011405655.1_00263	CDS	423			COG0864	Putative nickel-responsive regulator
GCF_011405655.1_00264	CDS	1026	hypE	4.2.1.-		Carbamoyl dehydratase HypE
GCF_011405655.1_00265	CDS	189				Ferredoxin-2
GCF_011405655.1_00266	CDS	498				hypothetical protein
GCF_011405655.1_00267	CDS	1941				hypothetical protein
GCF_011405655.1_00268	CDS	1449				hypothetical protein
GCF_011405655.1_00269	CDS	1905	dnaK		COG0443	Chaperone protein DnaK
GCF_011405655.1_00270	CDS	684	grpE			Protein GrpE
GCF_011405655.1_00271	CDS	951	dnaJ_2		COG0484	Chaperone protein DnaJ
GCF_011405655.1_00272	CDS	378				hypothetical protein
GCF_011405655.1_00273	CDS	2814	clpB		COG0542	Chaperone protein ClpB
GCF_011405655.1_00274	CDS	1335				hypothetical protein
GCF_011405655.1_00275	CDS	1971	urdA_3	1.3.99.33	COG0431	Urocanate reductase
GCF_011405655.1_00276	CDS	408	gltP		COG1301	Proton/glutamate-aspartate symporter
GCF_011405655.1_00277	CDS	921	gltT			Proton/sodium-glutamate symport protein
GCF_011405655.1_00278	CDS	1410	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
GCF_011405655.1_00279	CDS	714	lytR		COG3279	Sensory transduction protein LytR
GCF_011405655.1_00280	CDS	1902	pgi	5.3.1.9		Glucose-6-phosphate isomerase
GCF_011405655.1_00281	CDS	2493	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
GCF_011405655.1_00282	CDS	249	hypC		COG0298	Hydrogenase maturation factor HypC
GCF_011405655.1_00283	CDS	1167	hypD		COG0409	Hydrogenase maturation factor HypD
GCF_011405655.1_00284	CDS	372				hypothetical protein
GCF_011405655.1_00285	CDS	2001				hypothetical protein
GCF_011405655.1_00286	CDS	1083				hypothetical protein
GCF_011405655.1_00287	CDS	639	napG_1		COG1145	Ferredoxin-type protein NapG
GCF_011405655.1_00288	CDS	696	torD_1			Chaperone protein TorD
GCF_011405655.1_00289	CDS	921				hypothetical protein
GCF_011405655.1_00290	CDS	675				hypothetical protein
GCF_011405655.1_00291	CDS	870				hypothetical protein
GCF_011405655.1_00292	CDS	1215	napF_1			Ferredoxin-type protein NapF
GCF_011405655.1_00293	CDS	1677				hypothetical protein
GCF_011405655.1_00294	CDS	3519	napA_1	1.9.6.1		Periplasmic nitrate reductase
GCF_011405655.1_00295	CDS	663	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
GCF_011405655.1_00296	CDS	873				hypothetical protein
GCF_011405655.1_00297	CDS	1074				hypothetical protein
GCF_011405655.1_00298	CDS	444	yqeY		COG1610	putative protein YqeY
GCF_011405655.1_00299	CDS	2214				hypothetical protein
GCF_011405655.1_00300	CDS	1026	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GCF_011405655.1_00301	CDS	99				hypothetical protein
GCF_011405655.1_00302	CDS	1077	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
GCF_011405655.1_00303	CDS	675	graR		COG0745	Response regulator protein GraR
GCF_011405655.1_00304	CDS	618				hypothetical protein
GCF_011405655.1_00305	CDS	219				hypothetical protein
GCF_011405655.1_00306	CDS	492				hypothetical protein
GCF_011405655.1_00307	CDS	1968				hypothetical protein
GCF_011405655.1_00308	CDS	852				hypothetical protein
GCF_011405655.1_00309	CDS	819				hypothetical protein
GCF_011405655.1_00310	CDS	663				hypothetical protein
GCF_011405655.1_00311	CDS	672	trkA_1		COG0569	Trk system potassium uptake protein TrkA
GCF_011405655.1_00312	CDS	2064				hypothetical protein
GCF_011405655.1_00313	CDS	528	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
GCF_011405655.1_00314	CDS	1518	alsT_1		COG1115	Amino-acid carrier protein AlsT
GCF_011405655.1_00315	CDS	1329	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
GCF_011405655.1_00316	CDS	1173	napF_2			Ferredoxin-type protein NapF
GCF_011405655.1_00317	CDS	849	fliY_2		COG0834	L-cystine-binding protein FliY
GCF_011405655.1_00318	CDS	654	artQ		COG0765	Arginine transport system permease protein ArtQ
GCF_011405655.1_00319	CDS	774	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
GCF_011405655.1_00320	CDS	1581				hypothetical protein
GCF_011405655.1_00321	CDS	1374	pqqE	1.21.98.4		PqqA peptide cyclase
GCF_011405655.1_00322	CDS	321				hypothetical protein
GCF_011405655.1_00323	CDS	321				hypothetical protein
GCF_011405655.1_00324	CDS	651				hypothetical protein
GCF_011405655.1_00325	CDS	123				hypothetical protein
GCF_011405655.1_00326	CDS	486				hypothetical protein
GCF_011405655.1_00327	CDS	216				hypothetical protein
GCF_011405655.1_00328	CDS	798				IS21 family transposase ISMac9
GCF_011405655.1_00329	CDS	1230				hypothetical protein
GCF_011405655.1_00330	CDS	507				hypothetical protein
GCF_011405655.1_00331	CDS	225				hypothetical protein
GCF_011405655.1_00332	CDS	231				hypothetical protein
GCF_011405655.1_00333	CDS	717	pyrH	2.7.4.22	COG0528	Uridylate kinase
GCF_011405655.1_00334	CDS	564	frr		COG0233	Ribosome-recycling factor
GCF_011405655.1_00335	CDS	780	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
GCF_011405655.1_00336	CDS	1029				hypothetical protein
GCF_011405655.1_00337	CDS	1263	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
GCF_011405655.1_00338	CDS	3819				hypothetical protein
GCF_011405655.1_00339	CDS	1113				hypothetical protein
GCF_011405655.1_00340	CDS	1071	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
GCF_011405655.1_00341	CDS	1761	proS	6.1.1.15	COG0442	Proline--tRNA ligase
GCF_011405655.1_00342	CDS	615				hypothetical protein
GCF_011405655.1_00343	CDS	513				hypothetical protein
GCF_011405655.1_00344	CDS	780		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
GCF_011405655.1_00345	CDS	543				hypothetical protein
GCF_011405655.1_00346	CDS	954				hypothetical protein
GCF_011405655.1_00347	CDS	675				hypothetical protein
GCF_011405655.1_00348	CDS	639				hypothetical protein
GCF_011405655.1_00349	CDS	909				hypothetical protein
GCF_011405655.1_00350	CDS	285				hypothetical protein
GCF_011405655.1_00351	CDS	480				hypothetical protein
GCF_011405655.1_00352	CDS	1296		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
GCF_011405655.1_00353	CDS	297	fixX_1		COG2440	Ferredoxin-like protein FixX
GCF_011405655.1_00354	CDS	1305				hypothetical protein
GCF_011405655.1_00355	CDS	1566	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
GCF_011405655.1_00356	CDS	2673	malT_1		COG2909	HTH-type transcriptional regulator MalT
GCF_011405655.1_00357	CDS	1212	baiF_1	2.8.3.25	COG1804	Bile acid-CoA transferase
GCF_011405655.1_00358	CDS	546				hypothetical protein
GCF_011405655.1_00359	CDS	444				hypothetical protein
GCF_011405655.1_00360	CDS	1305				hypothetical protein
GCF_011405655.1_00361	CDS	1209	baiF_2	2.8.3.25	COG1804	Bile acid-CoA transferase
GCF_011405655.1_00362	CDS	1173	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
GCF_011405655.1_00363	CDS	759	fixA_1		COG2086	Protein FixA
GCF_011405655.1_00364	CDS	894	fixB_1		COG2025	Protein FixB
GCF_011405655.1_00365	CDS	1464				hypothetical protein
GCF_011405655.1_00366	CDS	1293				hypothetical protein
GCF_011405655.1_00367	CDS	1647				hypothetical protein
GCF_011405655.1_00368	CDS	708				hypothetical protein
GCF_011405655.1_00369	CDS	2214	phsA_1	1.8.5.5	COG0243	Thiosulfate reductase molybdopterin-containing subunit PhsA
GCF_011405655.1_00370	CDS	537	ttrB_1		COG0437	Tetrathionate reductase subunit B
GCF_011405655.1_00371	CDS	867				hypothetical protein
GCF_011405655.1_00372	CDS	1524				hypothetical protein
GCF_011405655.1_00373	CDS	1545				hypothetical protein
GCF_011405655.1_00374	CDS	2346				hypothetical protein
GCF_011405655.1_00375	CDS	819		3.2.1.-		Protein-ADP-ribose hydrolase
GCF_011405655.1_00376	CDS	567				hypothetical protein
GCF_011405655.1_00377	CDS	1635	mdtD_2			Putative multidrug resistance protein MdtD
GCF_011405655.1_00378	CDS	705	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
GCF_011405655.1_00379	CDS	1782	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
GCF_011405655.1_00380	CDS	2361	dmsA_2	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
GCF_011405655.1_00381	CDS	567	dmsB_2		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_011405655.1_00382	CDS	1203				hypothetical protein
GCF_011405655.1_00383	CDS	678			COG0664	putative ABC transporter ATP-binding protein
GCF_011405655.1_00384	CDS	1152				hypothetical protein
GCF_011405655.1_00385	CDS	420				hypothetical protein
GCF_011405655.1_00386	CDS	660				hypothetical protein
GCF_011405655.1_00387	CDS	657				hypothetical protein
GCF_011405655.1_00388	CDS	366				hypothetical protein
GCF_011405655.1_00389	CDS	516				hypothetical protein
