locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_000478885.1_00157	CDS	780	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
GCF_000478885.1_00158	CDS	1029				hypothetical protein
GCF_000478885.1_00159	CDS	1263	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
GCF_000478885.1_00160	CDS	3819				hypothetical protein
GCF_000478885.1_00161	CDS	1113				hypothetical protein
GCF_000478885.1_00162	CDS	1071	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
GCF_000478885.1_00163	CDS	1761	proS	6.1.1.15	COG0442	Proline--tRNA ligase
GCF_000478885.1_00164	CDS	615				hypothetical protein
GCF_000478885.1_00165	CDS	513				hypothetical protein
GCF_000478885.1_00166	CDS	753		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
GCF_000478885.1_00167	CDS	543				hypothetical protein
GCF_000478885.1_00168	CDS	954				hypothetical protein
GCF_000478885.1_00169	CDS	675				hypothetical protein
GCF_000478885.1_00170	CDS	639				hypothetical protein
GCF_000478885.1_00171	CDS	909				hypothetical protein
GCF_000478885.1_00172	CDS	1014				hypothetical protein
GCF_000478885.1_00173	CDS	1464				hypothetical protein
GCF_000478885.1_00174	CDS	1647				hypothetical protein
GCF_000478885.1_00175	CDS	708				hypothetical protein
GCF_000478885.1_00176	CDS	2214	phsA_1	1.8.5.5	COG0243	Thiosulfate reductase molybdopterin-containing subunit PhsA
GCF_000478885.1_00177	CDS	537	ttrB_1		COG0437	Tetrathionate reductase subunit B
GCF_000478885.1_00178	CDS	867				hypothetical protein
GCF_000478885.1_00179	CDS	1524				hypothetical protein
GCF_000478885.1_00180	CDS	1545				hypothetical protein
GCF_000478885.1_00181	CDS	2346				hypothetical protein
GCF_000478885.1_00182	CDS	819		3.2.1.-		Protein-ADP-ribose hydrolase
GCF_000478885.1_00183	CDS	567				hypothetical protein
GCF_000478885.1_00184	CDS	1392				hypothetical protein
GCF_000478885.1_00185	CDS	1641	bmr3			Multidrug resistance protein 3
GCF_000478885.1_00186	CDS	705	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
GCF_000478885.1_00187	CDS	1779	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GCF_000478885.1_00188	CDS	2376	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
GCF_000478885.1_00189	CDS	579				hypothetical protein
GCF_000478885.1_00190	CDS	1236				hypothetical protein
GCF_000478885.1_00191	CDS	687	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
GCF_000478885.1_00192	CDS	1260				hypothetical protein
GCF_000478885.1_00193	CDS	420				hypothetical protein
GCF_000478885.1_00194	CDS	660				hypothetical protein
GCF_000478885.1_00195	CDS	657				hypothetical protein
GCF_000478885.1_00196	CDS	1767				hypothetical protein
GCF_000478885.1_00197	CDS	2442	ynfE_1	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
GCF_000478885.1_00198	CDS	624	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_000478885.1_00199	CDS	627	dmsB_2		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_000478885.1_00200	CDS	642	dmsD_1		COG3381	Tat proofreading chaperone DmsD
GCF_000478885.1_00201	CDS	918	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
GCF_000478885.1_00202	CDS	1506				hypothetical protein
GCF_000478885.1_00203	CDS	1677	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
GCF_000478885.1_00204	CDS	282				hypothetical protein
GCF_000478885.1_00205	CDS	255				hypothetical protein
GCF_000478885.1_00206	CDS	516				hypothetical protein
GCF_000478885.1_00207	CDS	966	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
GCF_000478885.1_00208	CDS	702				hypothetical protein
GCF_000478885.1_00209	CDS	2697	metH	2.1.1.13	COG0646	Methionine synthase
GCF_000478885.1_00210	CDS	318				hypothetical protein
GCF_000478885.1_00211	CDS	849	apbC		COG0489	Iron-sulfur cluster carrier protein
GCF_000478885.1_00212	tRNA	76				tRNA-Ala(ggc)
GCF_000478885.1_00213	CDS	1398	prsA	5.2.1.8		Foldase protein PrsA
GCF_000478885.1_00214	CDS	1371	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
GCF_000478885.1_00215	CDS	957				hypothetical protein
GCF_000478885.1_00216	CDS	2079	fusA_1		COG0480	Elongation factor G
GCF_000478885.1_00217	CDS	3534	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
GCF_000478885.1_00218	CDS	4422	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
GCF_000478885.1_00219	CDS	945	hcaR_1			Hca operon transcriptional activator HcaR
GCF_000478885.1_00220	CDS	1377	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
GCF_000478885.1_00221	CDS	1881				hypothetical protein
GCF_000478885.1_00222	CDS	768	torD_1			Chaperone protein TorD
GCF_000478885.1_00223	CDS	828				hypothetical protein
GCF_000478885.1_00224	CDS	852				hypothetical protein
GCF_000478885.1_00225	CDS	3060	pcrA_1	1.97.1.-	COG0243	Perchlorate reductase subunit alpha
GCF_000478885.1_00226	CDS	618	phsB_1		COG0437	Thiosulfate reductase electron transfer subunit PhsB
GCF_000478885.1_00227	CDS	870				hypothetical protein
GCF_000478885.1_00228	CDS	867				hypothetical protein
GCF_000478885.1_00229	CDS	684	napG_1		COG1145	Ferredoxin-type protein NapG
GCF_000478885.1_00230	CDS	1011				hypothetical protein
GCF_000478885.1_00231	CDS	531	hisE	3.6.1.31		Phosphoribosyl-ATP pyrophosphatase
GCF_000478885.1_00232	CDS	1428	glmM_2	5.4.2.10	COG1109	Phosphoglucosamine mutase
GCF_000478885.1_00233	CDS	258				hypothetical protein
GCF_000478885.1_00234	CDS	858				hypothetical protein
GCF_000478885.1_00235	CDS	1428				hypothetical protein
GCF_000478885.1_00236	CDS	240				hypothetical protein
GCF_000478885.1_00237	CDS	726				hypothetical protein
GCF_000478885.1_00238	CDS	366	gdx			Guanidinium exporter
GCF_000478885.1_00239	CDS	1329				hypothetical protein
GCF_000478885.1_00240	CDS	1452				hypothetical protein
GCF_000478885.1_00241	CDS	696				hypothetical protein
GCF_000478885.1_00242	CDS	2874	napA_1	1.9.6.1		Periplasmic nitrate reductase
GCF_000478885.1_00243	CDS	588	soeB_1		COG0437	Sulfite dehydrogenase subunit B
GCF_000478885.1_00244	CDS	849				hypothetical protein
GCF_000478885.1_00245	CDS	675	torD_2			Chaperone protein TorD
GCF_000478885.1_00246	CDS	579	napG_2		COG1145	Ferredoxin-type protein NapG
GCF_000478885.1_00247	CDS	1026				hypothetical protein
GCF_000478885.1_00248	CDS	642				hypothetical protein
GCF_000478885.1_00249	CDS	699				hypothetical protein
GCF_000478885.1_00250	CDS	459				hypothetical protein
GCF_000478885.1_00251	CDS	408				hypothetical protein
GCF_000478885.1_00252	CDS	2787	ppk	2.7.4.1		Polyphosphate kinase
GCF_000478885.1_00253	CDS	1734		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
GCF_000478885.1_00254	CDS	117				hypothetical protein
GCF_000478885.1_00255	CDS	912				hypothetical protein
GCF_000478885.1_00256	CDS	1482	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
GCF_000478885.1_00257	CDS	1074	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
GCF_000478885.1_00258	CDS	618	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
GCF_000478885.1_00259	CDS	993				hypothetical protein
GCF_000478885.1_00260	CDS	636				hypothetical protein
GCF_000478885.1_00261	CDS	1182	purH	3.5.4.10		Bifunctional purine biosynthesis protein PurH
GCF_000478885.1_00262	CDS	510				hypothetical protein
GCF_000478885.1_00263	CDS	1167				hypothetical protein
GCF_000478885.1_00264	CDS	1200				hypothetical protein
GCF_000478885.1_00265	CDS	483	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
GCF_000478885.1_00266	tRNA	77				tRNA-Pro(cgg)
GCF_000478885.1_00267	CDS	1215	ackA_1	2.7.2.1	COG0282	Acetate kinase
GCF_000478885.1_00268	CDS	1800				hypothetical protein
GCF_000478885.1_00269	CDS	1671				hypothetical protein
GCF_000478885.1_00270	CDS	1371				hypothetical protein
GCF_000478885.1_00271	CDS	411				hypothetical protein
GCF_000478885.1_00272	CDS	270	tatA_1			Sec-independent protein translocase protein TatA
GCF_000478885.1_00273	CDS	471	greA		COG0782	Transcription elongation factor GreA
GCF_000478885.1_00274	CDS	2010	epmA	6.3.1.-		Elongation factor P--(R)-beta-lysine ligase
GCF_000478885.1_00275	CDS	1020				hypothetical protein
GCF_000478885.1_00276	CDS	2586	clpC1			ATP-dependent Clp protease ATP-binding subunit ClpC1
GCF_000478885.1_00277	CDS	843	ispD_1	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
GCF_000478885.1_00278	CDS	492	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
GCF_000478885.1_00279	CDS	285				hypothetical protein
GCF_000478885.1_00280	CDS	609	sigE		COG1595	ECF RNA polymerase sigma factor SigE
GCF_000478885.1_00281	CDS	672				hypothetical protein
GCF_000478885.1_00282	CDS	786				hypothetical protein
GCF_000478885.1_00283	CDS	222				hypothetical protein
GCF_000478885.1_00284	CDS	1560	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
GCF_000478885.1_00285	CDS	1743				hypothetical protein
GCF_000478885.1_00286	CDS	1566				hypothetical protein
GCF_000478885.1_00287	CDS	1338	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
GCF_000478885.1_00288	CDS	1149				hypothetical protein
GCF_000478885.1_00289	CDS	282				hypothetical protein
GCF_000478885.1_00290	CDS	429	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
GCF_000478885.1_00291	CDS	1059	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
GCF_000478885.1_00292	CDS	1299	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
GCF_000478885.1_00293	CDS	948	argB	2.7.2.8	COG0548	Acetylglutamate kinase
GCF_000478885.1_00294	CDS	1236	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
GCF_000478885.1_00295	CDS	1383	argG	6.3.4.5		Argininosuccinate synthase
GCF_000478885.1_00296	CDS	1371	argH	4.3.2.1	COG0165	Argininosuccinate lyase
GCF_000478885.1_00297	CDS	2193	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
GCF_000478885.1_00298	CDS	510				hypothetical protein
GCF_000478885.1_00299	CDS	2508				hypothetical protein
GCF_000478885.1_00300	CDS	1212	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
GCF_000478885.1_00301	CDS	429				hypothetical protein
GCF_000478885.1_00302	CDS	459	sigH		COG1595	ECF RNA polymerase sigma factor SigH
GCF_000478885.1_00303	CDS	798				hypothetical protein
GCF_000478885.1_00304	rRNA	1504				16S ribosomal RNA
GCF_000478885.1_00305	rRNA	2959				23S ribosomal RNA
GCF_000478885.1_00306	rRNA	93				5S ribosomal RNA (partial)
GCF_000478885.1_00307	CDS	603				hypothetical protein
GCF_000478885.1_00308	CDS	2661	acn	4.2.1.3	COG1048	Aconitate hydratase A
GCF_000478885.1_00309	CDS	1782	aspS	6.1.1.12		Aspartate--tRNA ligase
GCF_000478885.1_00310	CDS	672				hypothetical protein
GCF_000478885.1_00311	CDS	549	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
GCF_000478885.1_00312	CDS	2175	fdhF	1.17.1.9	COG0243	Formate dehydrogenase H
GCF_000478885.1_00313	CDS	594	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
GCF_000478885.1_00314	CDS	2091	hyfB_1	1.-.-.-	COG0651	Hydrogenase-4 component B
GCF_000478885.1_00315	CDS	927	hycD_1		COG0650	Formate hydrogenlyase subunit 4
GCF_000478885.1_00316	CDS	657	hyfE	1.-.-.-	COG4237	Hydrogenase-4 component E
GCF_000478885.1_00317	CDS	1578	hyfB_2	1.-.-.-	COG0651	Hydrogenase-4 component B
GCF_000478885.1_00318	CDS	1740	hycE_1		COG3261	Formate hydrogenlyase subunit 5
GCF_000478885.1_00319	CDS	531	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
GCF_000478885.1_00320	CDS	783	hycG_1		COG3260	Formate hydrogenlyase subunit 7
GCF_000478885.1_00321	CDS	588				hypothetical protein
GCF_000478885.1_00322	CDS	507	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
GCF_000478885.1_00323	CDS	831	focA_1		COG2116	putative formate transporter 1
GCF_000478885.1_00324	CDS	810	fdhD		COG1526	Sulfur carrier protein FdhD
GCF_000478885.1_00325	CDS	1335	eriC_1		COG0038	Chloride/fluoride channel protein
GCF_000478885.1_00326	CDS	1038				hypothetical protein
GCF_000478885.1_00327	CDS	1653				hypothetical protein
GCF_000478885.1_00328	CDS	831				hypothetical protein
GCF_000478885.1_00329	CDS	2298				hypothetical protein
GCF_000478885.1_00330	CDS	309			COG0718	Nucleoid-associated protein
GCF_000478885.1_00331	CDS	597	recR		COG0353	Recombination protein RecR
GCF_000478885.1_00332	CDS	318				hypothetical protein
GCF_000478885.1_00333	CDS	957				hypothetical protein
GCF_000478885.1_00334	CDS	1590				hypothetical protein
GCF_000478885.1_00335	CDS	318				hypothetical protein
GCF_000478885.1_00336	CDS	396				hypothetical protein
GCF_000478885.1_00337	CDS	303				hypothetical protein
GCF_000478885.1_00338	CDS	1356				hypothetical protein
GCF_000478885.1_00339	CDS	1773				hypothetical protein
GCF_000478885.1_00340	CDS	456				hypothetical protein
GCF_000478885.1_00341	CDS	333				hypothetical protein
GCF_000478885.1_00342	CDS	681				hypothetical protein
GCF_000478885.1_00343	CDS	885	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
GCF_000478885.1_00344	CDS	585				hypothetical protein
GCF_000478885.1_00345	CDS	1170				hypothetical protein
GCF_000478885.1_00346	CDS	831	crnA	3.5.2.10		Creatinine amidohydrolase
GCF_000478885.1_00347	CDS	1365	proP_1			Proline/betaine transporter
GCF_000478885.1_00348	CDS	1389				hypothetical protein
GCF_000478885.1_00349	CDS	822				hypothetical protein
GCF_000478885.1_00350	CDS	774	dnaJ_2			Chaperone protein DnaJ
GCF_000478885.1_00351	CDS	1215				hypothetical protein
GCF_000478885.1_00352	CDS	417				hypothetical protein
GCF_000478885.1_00353	CDS	1344				hypothetical protein
GCF_000478885.1_00354	CDS	1020				hypothetical protein
GCF_000478885.1_00355	CDS	1200				hypothetical protein
GCF_000478885.1_00356	CDS	990				hypothetical protein
GCF_000478885.1_00357	CDS	669	dmsD_2		COG3381	Tat proofreading chaperone DmsD
GCF_000478885.1_00358	CDS	855	dmsC_2		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
GCF_000478885.1_00359	CDS	573	dmsB_3		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_000478885.1_00360	CDS	633	dmsB_4		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_000478885.1_00361	CDS	2427	ynfE_2	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
GCF_000478885.1_00362	CDS	1677				hypothetical protein
GCF_000478885.1_00363	CDS	1974	mdtD_1			Putative multidrug resistance protein MdtD
GCF_000478885.1_00364	CDS	681				hypothetical protein
GCF_000478885.1_00365	CDS	2712	napA_2	1.9.6.1		Periplasmic nitrate reductase
GCF_000478885.1_00366	CDS	627	soeB_2		COG0437	Sulfite dehydrogenase subunit B
GCF_000478885.1_00367	CDS	813				hypothetical protein
GCF_000478885.1_00368	CDS	783	torD_3			Chaperone protein TorD
GCF_000478885.1_00369	CDS	627	napF_2			Ferredoxin-type protein NapF
GCF_000478885.1_00370	CDS	870				hypothetical protein
GCF_000478885.1_00371	CDS	1827				hypothetical protein
GCF_000478885.1_00372	CDS	300				hypothetical protein
GCF_000478885.1_00373	CDS	447				hypothetical protein
GCF_000478885.1_00374	CDS	1758				hypothetical protein
GCF_000478885.1_00375	CDS	1242				hypothetical protein
